id;building;year;retrofit;construction_type;night_setback;area;heater;dhw_heater;cooling;EV;f_TES;f_BAT;f_PV1;f_PV2;f_STC;gamma_PV;ev_charging
0;MFH;2002;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
1;MFH;1995;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
2;MFH;1984;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
3;MFH;1979;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
4;MFH;1969;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
5;MFH;1958;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
6;MFH;1949;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
7;MFH;1919;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
8;MFH;1860;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
9;MFH;1859;0;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
10;MFH;2002;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
11;MFH;1995;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
12;MFH;1984;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
13;MFH;1979;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
14;MFH;1969;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
15;MFH;1958;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
16;MFH;1949;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
17;MFH;1919;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
18;MFH;1860;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
19;MFH;1859;1;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
20;MFH;2002;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
21;MFH;1995;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
22;MFH;1984;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
23;MFH;1979;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
24;MFH;1969;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
25;MFH;1958;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
26;MFH;1949;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
27;MFH;1919;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
28;MFH;1860;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
29;MFH;1859;2;2;0;520;HP;EH_DHW;0;0;35;1;0.4;0.4;0;0;on_demand
