timestep;elec;dhw;occ;gains;EV_carprofile;EV_carcharging_ondemand;ice_carprofile;ICE_fuel_car_0;Car_availability_car_0;ICE_fuel_car_1;Car_availability_car_1;ICE_fuel_car_2;Car_availability_car_2;ICE_fuel_car_3;Car_availability_car_3;ICE_fuel_car_4;Car_availability_car_4;ICE_fuel_car_5;Car_availability_car_5;ICE_fuel_car_6;Car_availability_car_6;ICE_fuel_car_7;Car_availability_car_7;ICE_fuel_car_8;Car_availability_car_8;ICE_fuel_car_9;Car_availability_car_9;ICE_fuel_car_10;Car_availability_car_10;heating;cooling
0.000;299.789;1381.104;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;15067.591;0.000
0.250;299.789;0.000;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13733.169;0.000
0.500;359.309;0.000;15.000;1287.144;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13564.138;0.000
0.750;435.966;0.000;15.000;1337.737;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13393.445;0.000
1.000;573.567;0.000;15.000;1431.444;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13194.692;0.000
1.250;416.749;0.000;15.000;1325.055;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13177.629;0.000
1.500;299.789;0.000;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13143.002;0.000
1.750;299.789;0.000;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13054.370;0.000
2.000;435.966;0.000;15.000;1337.737;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12900.698;0.000
2.250;417.220;1709.939;15.000;1325.365;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12862.272;0.000
2.500;446.858;0.000;15.000;1344.926;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12803.953;0.000
2.750;299.789;0.000;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12844.124;0.000
3.000;661.553;0.000;15.000;1486.625;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12623.203;0.000
3.250;609.466;0.000;15.000;1452.693;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12695.285;0.000
3.500;359.309;0.000;15.000;1287.144;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12878.868;0.000
3.750;394.980;0.000;15.000;1310.687;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12922.206;0.000
4.000;463.525;0.000;15.000;1355.927;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12958.876;0.000
4.250;613.054;0.000;15.000;1456.485;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12965.346;0.000
4.500;490.132;4428.302;15.000;1376.291;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13122.585;0.000
4.750;480.797;0.000;15.000;1380.410;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13219.357;0.000
5.000;299.789;0.000;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13432.439;0.000
5.250;299.789;0.000;15.000;1247.861;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13552.858;0.000
5.500;3149.847;0.000;15.000;3128.899;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;12190.319;0.000
5.750;576.188;0.000;15.000;1440.448;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13663.937;0.000
6.000;457.147;0.000;15.000;1361.490;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13846.317;0.000
6.250;759.660;0.000;15.000;1569.046;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13803.156;0.000
6.500;581.343;0.000;15.000;1453.572;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14020.366;0.000
6.750;713.527;0.000;15.000;1541.810;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14076.852;0.000
7.000;683.460;7322.044;15.000;1534.178;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14213.581;0.000
7.250;1560.687;6401.308;15.000;2123.236;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;13855.430;0.000
7.500;1435.062;5634.028;15.000;2009.409;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14055.360;0.000
7.750;487.829;12671.083;15.000;1388.614;0.000;0.000;0.000;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;14651.118;0.000
8.000;925.017;5283.272;9.000;1296.361;0.000;0.000;0.051;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14829.655;0.000
8.250;1294.445;8198.936;9.000;1539.882;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14744.841;0.000
8.500;987.674;11158.445;9.000;1347.475;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;15007.425;0.000
8.750;4697.044;10325.398;8.000;3720.036;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;13234.426;0.000
9.000;2762.262;3112.965;9.000;2511.154;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14303.612;0.000
9.250;1412.331;1797.628;9.000;1637.644;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14669.785;0.000
9.500;1074.083;1512.638;8.000;1322.400;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14575.957;0.000
9.750;815.460;0.000;7.000;1064.567;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14407.868;0.000
10.000;1230.408;0.000;7.000;1343.175;0.000;0.000;0.095;0.000;True;0.000;True;0.044;False;0.000;True;0.000;True;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;13920.995;0.000
10.250;1173.916;2148.384;5.000;1161.323;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;14226.693;0.000
10.500;1099.394;1688.016;4.000;1019.952;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;13638.029;0.000
10.750;1633.257;0.000;4.000;1363.343;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12868.741;0.000
11.000;987.871;0.000;5.000;1013.241;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12680.985;0.000
11.250;2126.385;0.000;5.000;1762.301;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11971.153;0.000
11.500;2126.704;0.000;5.000;1763.917;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11837.855;0.000
11.750;2355.049;1490.716;5.000;1914.625;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11567.250;0.000
12.000;2199.401;3178.732;4.000;1733.011;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11552.296;0.000
12.250;520.444;0.000;5.000;694.899;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11382.223;0.000
12.500;2108.715;1688.016;5.000;1743.158;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;10995.572;0.000
12.750;774.203;0.000;5.000;862.380;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12003.848;0.000
13.000;2277.300;4537.914;5.000;1854.424;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11122.117;0.000
13.250;857.134;1359.182;4.000;845.708;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11982.032;0.000
13.500;462.029;3682.945;4.000;584.939;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12476.697;0.000
13.750;508.381;1315.337;4.000;615.532;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12627.246;0.000
14.000;521.906;0.000;4.000;624.458;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12852.983;0.000
14.250;795.149;0.000;4.000;804.799;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;11806.476;0.000
14.500;717.442;0.000;3.000;683.512;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;12408.061;0.000
14.750;383.774;0.000;3.000;465.355;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;13373.131;0.000
15.000;355.152;1688.016;3.000;450.790;0.000;0.000;0.343;0.000;True;0.000;True;0.044;False;0.000;True;0.248;False;0.000;True;0.000;True;0.000;True;0.051;False;0.000;True;0.000;True;13936.408;0.000
