timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
0.0;301.418;318.879;311.511;289.973;347.096;301.158;332.368;297.903;308.886;329.285;244.08;268.893;249.939;345.288;280.484;348.249;333.73;279.489;291.416;291.956;283.161;299.789;349.368;307.066;298.298;318.171;401.24;341.206;232.611;393.8
0.25;301.418;508.854;311.511;289.973;347.096;301.158;332.368;297.903;308.886;329.285;244.08;268.893;249.939;345.288;371.539;348.249;451.873;279.489;291.416;291.956;400.472;299.789;349.368;307.066;398.568;532.42;330.316;341.206;1463.545;393.8
0.5;437.122;508.854;408.677;484.202;347.096;433.203;332.368;297.903;308.886;643.46;244.08;268.893;249.939;682.522;371.539;431.897;399.814;367.209;291.416;291.956;559.531;359.309;445.688;326.519;298.298;406.542;431.398;426.006;232.611;528.653
0.75;440.763;544.462;445.565;577.599;347.096;686.862;332.368;297.903;308.886;446.597;244.08;377.633;549.675;606.141;280.484;348.249;502.982;382.472;291.416;410.743;461.397;435.966;622.26;401.828;396.095;318.171;555.036;341.206;290.644;579.094
1.0;426.415;473.863;311.511;399.426;347.096;748.305;332.368;297.903;364.403;329.285;334.895;321.712;476.104;345.288;327.886;348.249;696.887;1381.48;619.429;654.732;376.599;573.567;349.368;575.495;378.555;318.171;496.7;487.416;263.669;579.094
1.25;426.415;318.879;311.511;335.798;347.096;480.903;591.068;297.903;423.623;329.285;452.722;268.893;249.939;416.124;327.886;519.601;333.73;279.489;291.416;498.568;468.631;416.749;578.622;480.733;395.729;527.001;505.307;390.791;387.891;393.8
1.5;469.549;522.708;311.511;335.798;579.786;615.026;332.368;649.894;429.673;460.195;333.09;268.893;421.448;345.288;380.004;780.212;897.985;638.655;432.578;492.701;379.009;299.789;608.97;511.222;520.28;615.372;318.059;522.458;232.611;393.8
1.75;301.418;651.608;566.246;289.973;347.096;393.094;332.368;297.903;442.934;1002.101;370.998;465.083;421.448;468.756;525.59;980.005;779.841;380.391;355.976;478.695;283.161;299.789;637.779;720.952;591.827;579.086;686.274;713.425;290.644;393.8
2.0;427.119;713.009;604.322;826.606;347.096;362.601;332.368;386.655;308.886;875.444;370.998;409.788;443.697;970.076;322.605;616.739;333.73;382.472;400.192;392.552;367.959;435.966;516.309;415.527;375.582;318.171;525.265;532.174;320.046;393.8
2.25;521.668;711.405;311.511;416.35;347.096;301.158;709.163;513.249;308.886;329.285;334.895;404.012;453.409;596.151;280.484;378.87;407.651;417.168;414.415;291.956;283.161;417.22;524.941;511.891;356.882;444.049;504.431;426.006;383.684;393.8
2.5;301.418;645.586;335.89;468.146;347.096;433.203;492.916;323.393;308.886;507.041;486.269;404.012;249.939;345.288;488.91;533.026;564.8;279.489;571.638;471.161;372.784;446.858;524.941;497.678;298.298;444.049;495.824;341.206;478.085;596.248
2.75;410.274;447.779;381.601;468.146;638.7;567.326;430.52;622.446;308.886;549.091;529.597;377.633;249.939;345.288;297.987;498.541;517.958;638.655;571.638;454.189;400.472;299.789;723.34;402.916;468.657;401.123;473.0;341.206;290.644;601.707
3.0;360.692;318.879;442.549;399.426;1001.574;480.903;430.52;457.44;308.886;329.285;370.289;526.764;249.939;345.288;297.987;615.897;593.647;380.391;291.416;454.189;659.3;661.553;349.368;427.737;710.584;318.171;401.627;390.791;232.611;621.897
3.25;426.415;677.692;399.886;399.426;781.018;670.04;548.572;624.982;394.347;486.21;370.289;394.513;249.939;606.141;297.987;2115.203;491.734;279.489;291.416;291.956;727.915;609.466;349.368;401.828;467.276;444.049;627.062;341.206;232.611;393.8
