,total_heat_demand_kw
0,0.0
1,45665.68477794933
2,45665.68477794933
3,45665.68477794933
4,45665.68477794933
5,45665.68477794933
6,45665.68477794933
7,45665.68477794933
8,45665.68477794933
9,45665.68477794933
10,45665.68477794933
11,45665.68477794933
12,45665.68477794933
13,45665.68477794933
14,45665.68477794933
15,45665.68477794933
16,45665.68477794933
17,45665.68477794933
18,45665.68477794933
19,45665.68477794933
20,45665.68477794933
21,45665.68477794933
22,45665.68477794933
23,45665.68477794933
